bot_question_id,question_title,title,cp_reveal_time,type,cp_question_id,cp_post_id,resolution,forecast_values,cp_baseline_score
30579,"Will Joe Biden sign 4 or more executive orders after Election Day and before January 1, 2025?","How many executive orders will Joe Biden sign after Election Day and before January 1, 2025?",2024-12-07 15:30:00+00:00,multiple_choice,30270,30477,yes,0.25510245901639345,-7.666117672696129
28959,Will the Liberal Democratic Party win a majority of seats in the 2024 Japanese general election?,[Short Fuse] Will the Liberal Democratic Party win a majority of seats in the 2024 Japanese general election?,2024-10-23 14:30:00+00:00,binary,28907,28972,no,0.6,37.088648596012234
28960,Will the Botswana Democratic Party win the 2024 general election?,[Short Fuse] Will the Botswana Democratic Party win the 2024 general election?,2024-10-23 14:30:00+00:00,binary,28909,28974,no,0.55,31.399711223417146
29108,"Will any more United Kingdom MPs be suspended from their party, resign, or change allegiance before 2025?","Will any more United Kingdom MPs be suspended from their party, resign, or change allegiance before 2025?",2024-10-26 14:30:00+00:00,binary,28811,28854,yes,0.82,59.75523222121842
29109,Will Eric Adams be Mayor of New York City on the 1st of January 2025?,Will Eric Adams be Mayor of New York City on the 1st of January 2025?,2024-10-26 14:30:00+00:00,binary,28801,28841,yes,0.75,52.92184417805422
29110,"Will China officially announce export restrictions on any additional metals before January 1, 2025?","Will China officially announce export restrictions on any additional metals before January 1, 2025?",2024-10-26 14:30:00+00:00,binary,28657,28657,yes,0.45,19.301116295235225
29111,"Will the US Steel/Nippon Steel merger collapse before January 1, 2025?","Will the US Steel/Nippon Steel merger collapse before January 1, 2025?",2024-10-26 14:30:00+00:00,binary,28650,28650,no,0.6,37.088648596012234
29112,"Will the Russian government officially ban YouTube before January 1, 2025?","Will the Russian government officially ban YouTube before January 1, 2025?",2024-10-26 14:30:00+00:00,binary,28658,28658,no,0.18,-19.570323511413655
29348,[Short fuse] Will California's Proposition 33 (allowing rent control) pass in the 2024 general election?,[Short fuse] Will California's Proposition 33 (allowing rent control) pass in the 2024 general election?,2024-11-02 14:30:00+00:00,binary,29145,29242,no,0.25,-8.444517012140905
29355,Will there be a white Christmas in at least 4 of these 9 large European cities in 2024?,Will there be a white Christmas in at least 4 of these 9 large European cities in 2024?,2024-11-02 14:30:00+00:00,binary,28771,28783,no,0.15,-24.614360354203725
29414,"Will the XEC COVID-19 variant account for at least 50% of the variants monitored in the US before January 5, 2025?","Will the XEC COVID-19 variant account for at least 50% of the variants monitored in the US before January 5, 2025?",2024-11-05 15:30:00+00:00,binary,29055,29145,no,0.37,8.834133531255434
29635,Will the 2024 World Chess Champion be decided in the first 10 games?,Will the 2024 World Chess Champion be decided in the first 10 games?,2024-11-09 15:30:00+00:00,binary,28798,28834,no,0.1,-33.43394900406108
29940,Will Bitcoin dominance exceed 63.0% on any single day in November or December 2024?,Will Bitcoin dominance exceed 63.0% on any single day in November or December 2024?,2024-11-16 15:30:00+00:00,binary,29741,29900,no,0.43,16.754699519241033
29943,Will the International Criminal Court issue any warrants in November or December 2024?,Will the International Criminal Court issue any warrants in November or December 2024?,2024-11-16 15:30:00+00:00,binary,29744,29903,yes,0.19,-17.927420517950765
29944,Will Astro Bot win the Game of the Year 2024 award?,Will Astro Bot win the Game of the Year 2024 award?,2024-11-16 15:30:00+00:00,binary,29743,29902,yes,0.38,10.18479531703452
29945,"Will North Korea deploy military personnel to Ukraine before January 1, 2025?","Will North Korea deploy military personnel to Ukraine before January 1, 2025?",2024-11-16 15:30:00+00:00,binary,29742,29901,no,0.15,-24.614360354203725
30161,"Will Joe Biden no longer be US President before January 1, 2025?

","Will Joe Biden no longer be US President before January 20, 2025?",2024-11-22 15:30:00+00:00,binary,12217,12217,no,0.03,-46.763878926798945
30194,Will Nvidia have the largest market cap in the world at the end of 2024?,Will Nvidia have the largest market cap in the world at the end of 2024?,2024-11-23 15:30:00+00:00,binary,30101,30297,no,0.75,52.92184417805422
30196,"Will at least one of Andrea Bocelli's concerts at Madison Square Garden on December 18 or 19, 2024 sell out?","Will at least one of Andrea Bocelli's concerts at Madison Square Garden on December 18 or 19, 2024 sell out?",2024-11-23 15:30:00+00:00,binary,30060,30252,no,0.65,42.56174023302971
30197,Will Bluesky reach 30 million users before 1 January 2025?,Will Bluesky reach 30 million users before 1 January 2025?,2024-11-23 15:30:00+00:00,binary,30100,30295,no,0.7,47.83476810886873
30435,"Will any more of Trump's announced Cabinet picks drop out before January 1, 2025?","Will any more of Trump's announced Cabinet picks drop out before January 1, 2025?",2024-12-04 15:30:00+00:00,binary,30300,30516,no,0.72,49.8911731493534
30576,"Will New Delhi experience a ""Hazardous"" air quality index for at least one third of the last two weeks of December 2024?","Will New Delhi experience a ""Hazardous"" air quality index for at least one third of the last two weeks of December 2024?",2024-12-07 15:30:00+00:00,binary,30301,30517,yes,0.5,25.477201752352254
30586,"Will France have a new Prime Minister before January 1, 2025?","Will France have a new Prime Minister before January 1, 2025?",2024-12-07 15:30:00+00:00,binary,30474,30708,yes,0.45,19.301116295235225
30723,"Before Jan 1, 2025, will Ontario Premier Doug Ford call an early provincial election scheduled for 2025?",Will Ontario Premier Doug Ford call an early provincial election for 2025?,2024-12-12 15:30:00+00:00,binary,30563,30809,no,0.79,56.86617711761938
30787,"Will Blue Origin launch its New Glenn rocket before January 1, 2025?","Will Blue Origin launch its New Glenn rocket before January 1, 2025?",2024-12-14 15:30:00+00:00,binary,30654,30922,no,0.25,-8.444517012140905
29163,"Will the lowest COVID-19 hospitalization rate from October 5, 2024, to January 4, 2025, be below 2.0?","What will be the lowest COVID-19 hospitalization rate from October 5, 2024 to January 4, 2025?",2024-10-29 14:30:00+00:00,numeric,29050,29140,yes,0.31411009579259686,1.0432227447108724
29349,"Will it rain more than 100mm in Brasília, Brazil in December 2024?","How much will it rain in Brasília, Brazil in December 2024?",2024-11-02 14:30:00+00:00,numeric,28997,29077,yes,0.9583453266740091,72.37704241793338
29350,"Will it rain more than 150mm in Brasília, Brazil in December 2024?","How much will it rain in Brasília, Brazil in December 2024?",2024-11-02 14:30:00+00:00,numeric,28997,29077,yes,0.870125541541337,64.45694869113542
29351,"Will it rain more than 200mm in Brasília, Brazil in December 2024?","How much will it rain in Brasília, Brazil in December 2024?",2024-11-02 14:30:00+00:00,numeric,28997,29077,yes,0.7274736790938451,50.652157436866744
29353,Will the US State Department approve more than 20 arms sales globally in the fourth quarter of 2024?,How many arms sales globally will the US State Department approve in the fourth quarter of 2024?,2024-11-02 14:30:00+00:00,numeric,28953,29028,yes,0.9611013007377774,72.61759550721555
29354,Will the US State Department approve more than 25 arms sales globally in the fourth quarter of 2024?,How many arms sales globally will the US State Department approve in the fourth quarter of 2024?,2024-11-02 14:30:00+00:00,numeric,28953,29028,yes,0.8831983617655779,65.65838149702742
29463,"Will the CDC report more than 80% of the tested influenza sequences as influenza A during the 2024-25 season through the week ending Dec 21, 2024?",What proportion of tested influenza sequences will CDC report as influenza A during the 2024-25 season through the end of April 2025?,2024-11-06 15:30:00+00:00,numeric,29051,29141,yes,0.4480539957586608,19.055313912317878
29642,"Will Elon Musk’s net worth be less than or equal to the highest other net worth on the Forbes Real-Time Billionaires list as of January 1, 2025?","By how many billion USD will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list as of January 1, 2025?",2024-11-09 15:30:00+00:00,numeric,29480,29608,no,0.927786393264823,69.68249701415824
29643,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than zero and less than $40 billion as of January 1, 2025?","By how many billion USD will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list as of January 1, 2025?",2024-11-09 15:30:00+00:00,numeric,29480,29608,no,0.0,-52.87663729448976
29644,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than or equal to $40 billion and less than or equal to $70 billion as of January 1, 2025?","By how many billion USD will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list as of January 1, 2025?",2024-11-09 15:30:00+00:00,numeric,29480,29608,no,0.0,-52.87663729448976
29645,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than $70 billion and less than $100 billion as of January 1, 2025?","By how many billion USD will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list as of January 1, 2025?",2024-11-09 15:30:00+00:00,numeric,29480,29608,no,0.0,-52.87663729448976
29646,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than or equal to $100 billion as of January 1, 2025?","By how many billion USD will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list as of January 1, 2025?",2024-11-09 15:30:00+00:00,numeric,29480,29608,yes,0.07221360673517696,-38.57881074216569
30440,"Will be Donald Trump's net favorability rating on December 27, 2024 be greater than -4?","What will be Donald Trump's net favorability rating on December 27, 2024?",2024-12-04 15:30:00+00:00,numeric,30235,30434,yes,0.6187329492907317,39.163590290526194
30441,"Will be Donald Trump's net favorability rating on December 27, 2024 be greater than or equal to -6 and less than or equal to -4?","What will be Donald Trump's net favorability rating on December 27, 2024?",2024-12-04 15:30:00+00:00,numeric,30235,30434,no,0.2703026033342055,-5.371862132417246
30442,"Will be Donald Trump's net favorability rating on December 27, 2024 be less than -6?","What will be Donald Trump's net favorability rating on December 27, 2024?",2024-12-04 15:30:00+00:00,numeric,30235,30434,no,0.11096444737506272,-31.453230257583357
30583,"Will the closing price of CAC 40 be greater than 7,400 on December 31, 2024?","What will the closing price of CAC 40 be on December 31, 2024?",2024-12-07 15:30:00+00:00,numeric,30475,30709,no,0.4955167564728671,24.934088925766854
30584,"Will the closing price of CAC 40 be less than or equal to 7,400 and greater than or equal to 7,200 on December 31, 2024?","What will the closing price of CAC 40 be on December 31, 2024?",2024-12-07 15:30:00+00:00,numeric,30475,30709,yes,0.3174874753400876,1.5261557696507335
30585,"Will the closing price of CAC 40 be less than 7,200 on December 31, 2024?","What will the closing price of CAC 40 be on December 31, 2024?",2024-12-07 15:30:00+00:00,numeric,30475,30709,no,0.18699576818704536,-18.419023625117873
30791,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than 19 million, according to the TSA?","What will US airline passenger volume be for the week of Christmas through New Years Eve 2024, according to the TSA?",2024-12-14 15:30:00+00:00,numeric,28815,28860,no,0.0798111936708924,-37.15373714328744
30792,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than or equal to 18 million and less than or equal to 19 million, according to the TSA?","What will US airline passenger volume be for the week of Christmas through New Years Eve 2024, according to the TSA?",2024-12-14 15:30:00+00:00,numeric,28815,28860,yes,0.2944184317995511,-1.805149305850336
30793,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than 17 million and less than 18 million, according to the TSA?","What will US airline passenger volume be for the week of Christmas through New Years Eve 2024, according to the TSA?",2024-12-14 15:30:00+00:00,numeric,28815,28860,no,0.4338699030478743,17.250938440940878
30794,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be less than or equal to 17 million, according to the TSA?","What will US airline passenger volume be for the week of Christmas through New Years Eve 2024, according to the TSA?",2024-12-14 15:30:00+00:00,numeric,28815,28860,no,0.19190047148168224,-17.617296114552367
29461,"Will the weekly total number of influenza hospitalizations for the United States for the week of Nov 23, 2024 be more than 2,000?","What will be the weekly total number of influenza hospitalizations for the United States for the following weeks in the 2024-25 season? (Nov 23, 2024)",2024-11-06 15:30:00+00:00,numeric,29365,29507,yes,0.5399754435659441,30.23162712913791
29462,"Will the weekly total number of influenza hospitalizations for the United States for the week of Dec 7, 2024 be more than 2,000?","What will be the weekly total number of influenza hospitalizations for the United States for the following weeks in the 2024-25 season? (Dec 7, 2024)",2024-11-06 15:30:00+00:00,numeric,29366,29507,yes,,
