,author,title,resolution_type,resolution_criteria,fine_print,description,publish_time,close_time,resolve_time
https://www.metaculus.com/questions/1621/fda-approval-for-senolytic-therapy-by-2030/,johnnycaffeine,"Will a senolytic therapy be approved for commercial sale by the US FDA before January 1, 2025?",,"This question will resolve as **Yes** if the United States Food and Drug Administration (or its successor body if current FDA ceases to exist) approves a product marketed as a senolytic therapy or drug (whether a small molecule drug, gene therapy or other class of clinical intervention) for commercial sale in the US before January 1, 2025. The approval must be given before January 1, 2025, but the actual sale of any product is not required before that date.

For the purposes of this question, an intervention will be regarded as a ""'senolytic therapy"" if it is marketed by its producer as an intervention whose purpose includes the selective removal of senescent cells, and medical evidence accepted by the FDA demonstrates that it does so.

This question will resolve as No if no such therapy is approved before January 1, 2025. If the FDA is dissolved before approval is granted, and no agency of the US government with the responsibility for granting regulatory approval for drugs and medical interventions is created to succeed it before January 1, 2025, this question will resolve as Annulled.
",,.p,10/21/24,10/22/24,1/1/25
https://www.metaculus.com/questions/4779/at-least-1-nuclear-detonation-in-war-by-2050/,Tom_Metaculus,"Will a nuclear weapon be detonated as an act of war before January 1, 2025?
",,"This question will resolve as **Yes** if there is any nuclear detonation as an act of war before January 1, 2025.  Resolution will be by credible media reports. The detonation must be deliberate; accidental, inadvertent, or testing/peaceful detonations will not qualify (see fine print). Attacks using [strategic](https://en.wikipedia.org/wiki/Strategic_nuclear_weapon) and [tactical](https://en.wikipedia.org/wiki/Tactical_nuclear_weapon) nuclear weapons are both sufficient to qualify.",.p,.p,10/21/24,10/22/24,1/1/25
https://www.metaculus.com/questions/5587/ai-ny-times-best-seller-before-2030/,johnnycaffeine,"Will a book written by a language model make the NY Times Best Seller list before 2025?

",,"A book is said to have been written by a language model if a language model wrote at least 99% of the text contained in the main section in the book, excluding a potential foreword, copyright notice, table of contents, and other non-essential book sections. The main text must also contain at least 20,000 words. Stylistic edits by humans are allowed if they do not change the basic semantic meaning of any sentence, or they merely correct basic spelling, grammatical, or formatting mistakes. Admins will use their discretion, in consultation with the community, to determine whether any candidate book meets the spirit of these conditions.

This question resolves positively if the above conditions are met before 2025, and negatively otherwise.",.p,.p,10/21/24,10/22/24,1/1/25
,johnnycaffeine,"Will Nippon Steel acquire US Steel before January 1, 2025?",,"This question resolves as **Yes** if Nippon Steel or US Steel issue a press release or any other posts saying that Nippon Steel has acquired US Steel, at the following respective news link pages: [Nippon Steel news](https://www.nipponsteel.com/en/news/) and [US Steel news](https://investors.ussteel.com/news-events/news-releases) when accessed by Metaculus Admins on or after January 1, 2025. As a secondary resolution source, Metaculus Admins will use US Steel's SEC filings at [this](https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001163302&owner=exclude) EDGAR link. 

If no such press release is found at either news page, and there is no posted SEC filing at the link from US Steel indicating the acquisition has occurred, this question resolves as **No**.","For purposes of this question, in order to facilitate streamlined resolution no other resolution source will be considered, so forecasters are urged to predict accordingly. If either news release site is down, resolution will wait for up to 7 days. If SEC's Edgar site is down, resolution will wait for up to 7 days. If the resolution source links remains inaccessible after that time for any reason (including the companies discontinuing their news sections or changing the URL and not auto-forwarding to the new page), and the secondary resolution source link remains inaccessible after that time for any reason (including the SEC discontinuing its ""Classic version""), this question resolves as No. ","According to a press release dated September 19, 2024, US Steel's president and CEO said, ""We continue to progress through the U.S. regulatory reviews of the pending transaction with Nippon Steel, and are confident in our ability to achieve these approvals. We continue to work towards closing the transaction by the end of the year."" However, the aquisition has recently been [held up](https://www.nytimes.com/2024/09/17/us/politics/us-steel-nippon-steel-deal.html) due to national security reviews from the Committee on Foreign Investment in the United States, which may delay closing of the transaction into 2025 or even cause the transaction to be cancelled.",10/21/24,11/8/24,1/1/25
,Tom_Metaculus,"Will the CBOE S&P 500 3-Month Volatility Index (VXVCLS) be higher Year-over-Year on October 30, 2024?",,"This question will resolve based on reporting by the St. Louis Fed at [this link](https://fred.stlouisfed.org/series/VXVCLS). The reported number for October 30, 2024 must be greater than the reported number on October 30, 2023, which at the time of this question was 20.80.",The question will resolve according to the first value published for the period in question. Later updates or revisions will be immaterial.,"According to [FRED](https://fred.stlouisfed.org/series/VXVCLS): > Chicago Board Options Exchange, CBOE S&P 500 3-Month Volatility Index [VXVCLS], retrieved from FRED, Federal Reserve Bank of St. Louis. According to [Wikipedia](https://en.wikipedia.org/wiki/VIX), VIX is the ticker symbol and the popular name for the Chicago Board Options Exchange's CBOE Volatility Index, a popular measure of the stock market's expectation of volatility based on S&P 500 index options. It is calculated and disseminated on a real-time basis by the CBOE, and is often referred to as the fear index or fear gauge."" This question specificially looks at the 3-month version of the Vix.",10/21/24,10/22/24,10/31/24
,johnnycaffeine,"Will Doug Pederson cease to be the Jacksonville Jaguars head coach before January 1, 2025?",,"This question resolves as **Yes** if before January 1, 2025, Doug Pederson is no longer head coach of the Jacksonville Jaguars according to [credible sources](https://www.metaculus.com/help/faq/#definitions) such as the official Jaguars website [coaches page](https://www.jaguars.com/team/coaches-roster/). Otherwise this question resolves as **No.**",,"After an early losing streak to begin the 2024-25 NFL season, some have [speculated](https://www.sportingnews.com/us/nfl/news/will-doug-pederson-get-fired-jaguars-coach-hot-seat/8e9d16305862870ef416857f) that Pederson might be fired by Jaguars owner Shad Khan, although the question might be timing. ",10/21/24,10/22/24,1/1/25
https://www.metaculus.com/questions/24806/nvidia-apple-market-cap-june-2024/,Tom_Metaculus,"On October 31, 2024, will Nvidia's market capitalization be larger than Apple's?",,"This question resolves Yes if, on October 31, 2024, the market cap of Nvidia is greater than that of Apple, according to [Companies Market Cap](https://companiesmarketcap.com/), when checked by Metaculus at approximately 4 PM EDT (8 PM UTC).",.p,.p,10/21/24,10/22/24,11/1/24
,johnnycaffeine,"Will US airline passenger volume for the Veterans Day weekend of 2024 be up year over year, according to the TSA?",,"This question resolves as **Yes** if total passenger volume for the Veterans Day travel weekend of 2024, which we define as the sum of the passenger figures for the five day period of Friday November 8, 2024, through Tuesday November 12, 2024 exceed the equivalent Veterans Day travel weekend of 2023, which we define as the five day period of Friday, November 10, 2023 through Tuesday November 14, 2023. The resolution source is the TSA checkpoint travel numbers, which can be found at [this link](https://www.tsa.gov/travel/passenger-volumes) for 2024. The archived 2023 TSA passenger volume numbers can be found [here](https://www.tsa.gov/travel/passenger-volumes/2023).

The five days of November 10, 2023 through November 14, 2023, had respective passenger numbers of 2,591,818, 2,025,517, 2,683,745, 2,533,300, and 2,035,761, for a total of 11,870,141. Therefore, this question resolves as **Yes** if passenger volume for the five-day Veterans Day travel period for 2024 exceeds 11,870,141 and resolves as **No** if it is less than or equal to 11,870,141.","The question will resolve as soon as the data is posted and accessed by Metaculus Admins. However, if there are delays then resolution will wait up to the end of the quarter to be posted for the time in question. If it has not been posted as of January 7, 2025, when accessed by Admins, this question will be **annulled**.","Veterans Day in the US is [federal holiday](https://en.wikipedia.org/wiki/Federal_holidays_in_the_United_States) and is a celebrated on November 11th, regardless of the day of the week upon which it falls. In 2023 it fell on a Saturday, and in 2024 it will fall on a Monday.",10/21/24,10/22/24,11/15/24
,johnnycaffeine,"Will the Warren Buffett Indicator exceed 205% before November 15, 2024?
",,"This question resolves as **Yes** if before November 15, 2024 the Warren Buffett Indicator exceeds 205%, as reported at the [Longtermtrends website](https://www.longtermtrends.net/market-cap-to-gdp-the-buffett-indicator/), specifically the *Wilshire 5000 to GDP Ratio* on that page. If before that date the Warren Buffett Indicator has not exceeded 205%, this question resolves as No.

The figures can be viewed either on the chart itself or by viewing the CSV, XLX, or data table. As of October 21, 2024, the most recent figure displayed in the data table was 202.52 for October 17, 2024. ","The Warren Buffett indicator will be considered to have exceeded 205% only if it reaches a value of 205.00000000000001 or higher. Any value below 205 in the Wilshire 5000 to GDP Ratio column of the data table, even 204.99999999999999, will not be considered as exceeding 205%.

In cases in which the chart might show 205.00% and the data table shows a value higher than that (for example 205.0000000000001) the data table will take precedence when it comes to resolution.

If the numbers through November 15, 2024 are not posted in a timely manner, the question will wait for resolution until November 30, 2024. If on that date the Warren Buffet Indicator numbers through November 15, 2024 are not posted, this question will resolve based on the most recent numbers. 

If the Longtermtrends website stops tracking the Warren Buffett Indicator, this question will be **annulled**.","In a 2001 article co-written with Fortune Magazine's Carol Loomis, Warren Buffett [said](https://web.archive.org/web/20141013162215/https://archive.fortune.com/magazines/fortune/fortune_archive/2001/12/10/314691/index.htm):

>The chart shows the market value of all publicly traded securities as a percentage of the country's business--that is, as a percentage of GNP. The ratio has certain limitations in telling you what you need to know. Still, it is probably the best single measure of where valuations stand at any given moment. And as you can see, nearly two years ago the ratio rose to an unprecedented level. That should have been a very strong warning signal.

>For investors to gain wealth at a rate that exceeds the growth of U.S. business, the percentage relationship line on the chart must keep going up and up. If GNP is going to grow 5% a year and you want market values to go up 10%, then you need to have the line go straight off the top of the chart. That won't happen.

>For me, the message of that chart is this: If the percentage relationship falls to the 70% or 80% area, buying stocks is likely to work very well for you. If the ratio approaches 200%--as it did in 1999 and a part of 2000--you are playing with fire. As you can see, the ratio was recently 133%.

Astute forecasters will note that Buffett's methodology slightly differs from the Longtermtrends website in that Buffett has the GNP as his denominator, while has Longtermtrends has GDP as its denominator.",10/21/24,10/22/24,11/18/24
,johnnycaffeine,"Will Tesla deliver more than 450,000 vehicles in Q4 2024? ",,"This question resolves as **Yes** if Tesla reports greater than 450,000 vehicles delivered for the fourth quarter of 2024. If it reports deliveries of 450,000 vehicles or fewer, this question resolves as **No**.","Resolves based on reporting from Tesla's Investor Relations site. Generally Tesla reports deliveries two days after the quarter's end, which means the report is expected January 2, 2025. If Tesla does not report these numbers before January 16, 2025, this question will be annulled.","In Q2 2024, Tesla delivered 443,956 vehicles. Since the beginning of 2023, Tesla's deliveries were as follows: 422,875 in Q1 2023, 466,140 in Q2 2023, 435,059 in Q3 2023, 484,507 in Q4 2023, 386,810 in Q1 2024, and 443,956 in Q2 2024.",10/21/24,10/22/24,1/2/25
,johnnycaffeine,"Will IBM lower its Pay-as-you-go quantum computing prices before January 1, 2025?",,"This question resolves as **Yes** if IBM's posted ""starting at"" price for Pay-as-you-go quantum computing is less than $96 USD / minute at [this link](https://www.ibm.com/quantum/pricing) when accessed by Metaculus on or around January 1, 2025. If the price is greater than or equal to that price, this question resolves as **No**.
","No other resolution source will be considered. The question will resolve as soon as the page is accessed by Metaculus Admins on the resolution date. However, if there are issues accessing the page, then resolution will wait up to January 7, 2025, at which point if Metaculus has still not been able to access the resolution source, this question will be **annulled**.","IBM press release September 26, 2024: [IBM Expands Quantum Data Center in Poughkeepsie, New York to Advance Algorithm Discovery Globally](https://newsroom.ibm.com/2024-09-26-ibm-expands-quantum-data-center-in-poughkeepsie,-new-york-to-advance-algorithm-discovery-globally)",10/22/24,10/23/24,1/1/25
https://www.metaculus.com/questions/28972/will-ldp-win-a-seat-majority-in-the-2024-japanese-elections/,Tom_Metaculus,Will the Liberal Democratic Party win a majority of seats in the 2024 Japanese general election?,,.p,.p,.p,10/22/24,10/23/24,10/29/24
https://www.metaculus.com/questions/28974/will-bdp-win-a-majority-of-elected-seats-in-2024/,Tom_Metaculus,Will the Botswana Democratic Party win the 2024 general election?,,.p,.p,.p,10/22/24,10/23/24,11/2/24
https://www.metaculus.com/questions/28925/polling-bias-for-or-against-trump-in-2024/,johnnycaffeine,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be less than -2.0 percentage points?,,"The question will resolve as **Yes** if Donald Trump's national polling bias when using the October 17 [RealClear Polling (RCP) average](https://www.realclearpolling.com/polls/president/general/2024/trump-vs-harris) of a -1.583 percentage point spread (Trump) is strictly less than -2.0 pp. 

This will be calculated as -1.583 percentage points (pp), minus Trump's popular vote percentage (expressed in pp), plus Harris' popular vote percentage (in pp).",,.p,10/22/24,10/23/24,12/10/24
https://www.metaculus.com/questions/28925/polling-bias-for-or-against-trump-in-2024/,johnnycaffeine,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be greater than or equal to -2.0 and less than or equal to -1.0 percentage points?,,"The question will resolve as **Yes** if Donald Trump's national polling bias when using the October 17 [RealClear Polling (RCP) average](https://www.realclearpolling.com/polls/president/general/2024/trump-vs-harris) of a -1.583 percentage point spread (Trump) is greater than or equal to -2.0 pp and less than or equal to -1.0 pp. 

This will be calculated as -1.583 percentage points (pp), minus Trump's popular vote percentage (expressed in pp), plus Harris' popular vote percentage (in pp).",,.p,10/22/24,10/23/24,12/10/24
https://www.metaculus.com/questions/28925/polling-bias-for-or-against-trump-in-2024/,johnnycaffeine,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be greater than -1.0 and less than 0 percentage points?,,"The question will resolve as **Yes** if Donald Trump's national polling bias when using the October 17 [RealClear Polling (RCP) average](https://www.realclearpolling.com/polls/president/general/2024/trump-vs-harris) of a -1.583 percentage point spread (Trump) is strictly greater than -1.0 pp and strictly less than 0 pp. 

This will be calculated as -1.583 percentage points (pp), minus Trump's popular vote percentage (expressed in pp), plus Harris' popular vote percentage (in pp).",,.p,10/22/24,10/23/24,12/10/24
https://www.metaculus.com/questions/28925/polling-bias-for-or-against-trump-in-2024/,johnnycaffeine,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be greater than or equal to 0 percentage points and less than or equal to 1.0 percentage points?,,"The question will resolve as **Yes** if Donald Trump's national polling bias when using the October 17 [RealClear Polling (RCP) average](https://www.realclearpolling.com/polls/president/general/2024/trump-vs-harris) of a -1.583 percentage point spread (Trump) is greater than or equal to 0 pp and less than or equal to 1.0 pp. 

This will be calculated as -1.583 percentage points (pp), minus Trump's popular vote percentage (expressed in pp), plus Harris' popular vote percentage (in pp).",,.p,10/22/24,10/23/24,12/10/24
https://www.metaculus.com/questions/28925/polling-bias-for-or-against-trump-in-2024/,johnnycaffeine,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be greater than 1.0 percentage points?,,"The question will resolve as **Yes** if Donald Trump's national polling bias when using the October 17 [RealClear Polling (RCP) average](https://www.realclearpolling.com/polls/president/general/2024/trump-vs-harris) of a -1.583 percentage point spread (Trump) is strictly greater than 1.0 pp. 

This will be calculated as -1.583 percentage points (pp), minus Trump's popular vote percentage (expressed in pp), plus Harris' popular vote percentage (in pp).",,.p,10/22/24,10/23/24,12/10/24
,johnnycaffeine,"Will Spotify remove rapper Diddy's songs from Diddy's Spotify page before January 1, 2025?",,"This question resolves as **Yes** if rapper Sean ""Diddy"" Combs no longer has music at his Spotify page, which can currently be found at [this location](https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA). If there is still music by Diddy available at that page when accessed by Metaculus on or after January 2, 2025, this question resolves as **No**.","If there no longer is a Spotify profile page for Diddy at all, this question resolves as **No**. For purposes of this question, any stage name known to refer to Combs, such as ""Diddy"" or ""Puff Daddy"" will count. ","Time Magazine September 20, 2024: [Diddy’s in Exile. Here’s What Could Happen to His Music Now](https://time.com/7023138/sean-diddy-combs-music-back-catalog/)",10/22/24,10/23/24,1/1/25
,johnnycaffeine,"Will Spirit Airlines file for bankruptcy before January 1, 2025?",,"This question will resolve as **Yes** if Spirit Airlines, Inc. files any petition for bankruptcy protection in the United States, under any chapter of the United States Bankruptcy Code, before January 1, 2025. The question will resolves on the filing of such a petition, not on whether any bankruptcy protection is granted by a court. If no such petition is filed by that date, this question will resolve as **No**.",,"Spirit Airlines, a deep discount airline which has been unprofitable from an operating standpoint since the start of the 2020 pandemic, recently had a buyout from JetBlue rejected by antitrust regulators. As of Q2 2024 results it continues to face declining revenues and negative earnings and cash flows.Spirit AIrlines recently had to [extend the deadline](https://www.marketwatch.com/story/spirit-airlines-shares-tick-down-on-deadline-extension-to-complete-debt-renegotiations-c5e29f61?mod=mw_quote_news) of some of its debt due.",10/22/24,10/23/24,1/1/25
