bot_question_id,question_title,cp_reveal_time,cp_post_id
28922,"Will a senolytic therapy be approved for commercial sale by the US FDA before January 1, 2025?",2024-10-22 14:30:00+00,1621
28923,"Will a nuclear weapon be detonated as an act of war before January 1, 2025?
",2024-10-22 14:30:00+00,4779
28924,"Will a book written by a language model make the NY Times Best Seller list before 2025?

",2024-10-22 14:30:00+00,5587
28935,"On October 31, 2024, will Nvidia's market capitalization be larger than Apple's?",2024-10-22 14:30:00+00,24806
28959,Will the Liberal Democratic Party win a majority of seats in the 2024 Japanese general election?,2024-10-23 14:30:00+00,28972
28960,Will the Botswana Democratic Party win the 2024 general election?,2024-10-23 14:30:00+00,28974
28985,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be less than -2.0 percentage points?,2024-10-23 14:30:00+00,28925
28986,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be greater than or equal to -2.0 and less than or equal to -1.0 percentage points?,2024-10-23 14:30:00+00,28925
28987,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be greater than -1.0 and less than 0 percentage points?,2024-10-23 14:30:00+00,28925
28988,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be greater than or equal to 0 percentage points and less than or equal to 1.0 percentage points?,2024-10-23 14:30:00+00,28925
28989,Will RCP's polling bias for Trump based on national polls in the month before the 2024 election be greater than 1.0 percentage points?,2024-10-23 14:30:00+00,28925
,"Will at least 200 Benin Bronzes go from the British Museum to Nigeria before January 1, 2025?",,13924
29069,Will the S&P 500 index go up in November 2024?,2024-10-25 14:30:00+00,20694
,"Will the UK Abolish the Two-Child Benefit Cap before January 1, 2025?",,26616
29072,"Will Russia have control of Chasiv Yar on December 31, 2024?",2024-10-25 14:30:00+00,25749
29077,"Will William Ruto cease to be President of Kenya before January 1, 2025?",2024-10-25 14:30:00+00,26304
29108,"Will any more United Kingdom MPs be suspended from their party, resign, or change allegiance before 2025?",2024-10-26 14:30:00+00,28854
29109,Will Eric Adams be Mayor of New York City on the 1st of January 2025?,2024-10-26 14:30:00+00,28841
29110,"Will China officially announce export restrictions on any additional metals before January 1, 2025?",2024-10-26 14:30:00+00,28657
29111,"Will the US Steel/Nippon Steel merger collapse before January 1, 2025?",2024-10-26 14:30:00+00,28650
,"Will the Russian government officially ban YouTube before January 1, 2025?",,28658
29162,"Will an H5 virus receive an ""emergence"" risk rating categorized as ""high"" by the US CDC Influenza Risk Assessment Tool before January 1, 2025?",2024-10-29 14:30:00+00,29086
29163,"Will the lowest COVID-19 hospitalization rate from October 5, 2024, to January 4, 2025, be below 2.0?",2024-10-29 14:30:00+00,29140
29164,"Will the World Health Organization designate a new COVID-19 Variant of Concern before January 1, 2025?",2024-10-29 14:30:00+00,29027
29165,"Will CDC’s highest assessment of the risk posed by H5 bird flu to the US general public before January 1, 2025, be ""Low""?",2024-10-29 14:30:00+00,29090
29202,"Will a European Union ban into non-commercial internal combustion engines take effect before January 1, 2025?",2024-10-30 14:30:00+00,28742
,"Will the U.S. have passed legislation that requires cybersecurity around AI models before 2025?
",,17373
,"Will SpaceX re-use a Starship booster before January 1, 2025?",,29222
,Will the World Health Organization prequalify moxidectin before 2025?,,28395
29348,[Short fuse] Will California's Proposition 33 (allowing rent control) pass in the 2024 general election?,2024-11-02 14:30:00+00,29242
29349,"Will it rain more than 100mm in Brasília, Brazil in December 2024?",2024-11-02 14:30:00+00,29077
29350,"Will it rain more than 150mm in Brasília, Brazil in December 2024?",2024-11-02 14:30:00+00,29077
